evid,Time,Latitude,Longitude,Depth,Magnitude
0,2021-01-01 00:03:33.320000,44.32,10.881,30.77,2.5
1,2021-01-01 03:10:51.510000,46.0527,10.5512,2.91,0.82
2,2021-01-01 03:59:14.770000,45.2475,11.0498,5.75,1.78
3,2021-01-01 11:33:12.080000,45.89,11.955,12.83,0.78
4,2021-01-01 16:42:27.940000,46.362,12.4535,6.58,0.88
5,2021-01-01 20:02:20.630000,46.2537,13.3,7.35,1.61
6,2021-01-02 05:04:29.180000,46.0075,13.9757,22.53,1.84
7,2021-01-03 01:15:39.460000,46.9378,11.3628,7,1.83
8,2021-01-03 13:24:53.130000,45.6982,14.2027,9.81,1.84
9,2021-01-04 11:05:28.910000,45.7462,11.0898,4.99,0.75
10,2021-01-04 12:35:35.430000,45.5425,10.8292,8.77,1.43
11,2021-01-04 13:58:53.730000,46.5007,13.1098,8.9,1.34
12,2021-01-04 16:20:13.340000,45.7998,11.3652,11.05,0.98
13,2021-01-04 21:12:15.270000,45.2192,10.777,16.98,2.41
14,2021-01-05 02:31:31.450000,46.0593,11.7803,8.64,1.01
15,2021-01-05 11:42:02.870000,46.3697,12.5718,7.77,1.03
16,2021-01-05 19:48:03.610000,46.2372,14.3093,12.33,2.39
17,2021-01-06 15:41:10.700000,46.3618,12.941,10.1,1.03
18,2021-01-06 17:01:44.410000,45.3923,16.204,23.51,5.3
19,2021-01-06 19:47:06.420000,46.589,10.6327,7.17,0.87
20,2021-01-07 00:40:06.770000,45.8818,10.586,6.38,1.02
21,2021-01-07 04:58:42.120000,46.4065,12.567,7.95,0.94
22,2021-01-07 06:06:19.500000,46.3112,13.5855,6.72,1.72
23,2021-01-07 06:29:23.630000,46.3397,13.2307,4.36,1.41
24,2021-01-07 09:57:56.950000,46.2845,12.0148,7,0.9
25,2021-01-07 15:59:03.540000,46.2548,12.4983,7.49,0.8
26,2021-01-07 20:23:53.830000,45.879,10.5882,4.3,0.58
27,2021-01-08 00:59:44.680000,46.4922,13.051,5.23,1.14
28,2021-01-08 06:37:02.120000,46.2723,13.6582,4.94,1.09
29,2021-01-08 16:09:41.030000,46.426,10.5347,3.44,0.79
30,2021-01-08 18:01:24.970000,46.3055,13.2538,10.38,1
31,2021-01-09 15:47:45.580000,46.2468,13.1153,6.77,0.55
32,2021-01-09 23:48:27.710000,46.356,12.2535,0.67,0.56
33,2021-01-11 04:35:05.240000,46.2643,13.2868,7.75,0.66
34,2021-01-11 20:44:39.390000,45.2423,11.0168,13.62,1.81
35,2021-01-12 12:17:01.850000,46.1977,12.9965,6.3,1.21
36,2021-01-12 15:48:24.600000,46.2017,12.9858,4.37,1.33
37,2021-01-12 19:18:13.380000,45.5865,14.3602,17.31,1.88
38,2021-01-13 00:39:05.990000,45.9252,10.7155,10.74,0.84
39,2021-01-13 11:18:06.340000,46.296,13.6385,5.01,1.1
40,2021-01-13 12:18:13.410000,46.234,13.7678,2.95,1.13
41,2021-01-13 18:36:42.820000,46.0103,13.9168,11.14,1.36
42,2021-01-14 12:37:36.810000,46.1248,13.47,15.03,0.96
43,2021-01-15 02:21:23.470000,46.204,13.0025,13.52,2.33
44,2021-01-15 06:37:30.330000,46.1992,13.0057,14.53,2.5
45,2021-01-15 13:48:53.600000,46.3753,12.5245,8.92,0.92
46,2021-01-15 19:51:34.740000,46.5632,10.7055,8.82,1.33
47,2021-01-15 20:10:20.020000,46.4497,13.4505,1.94,0.55
48,2021-01-16 00:54:37.700000,46.191,12.527,8.98,0.68
49,2021-01-16 13:07:29.070000,46.5182,12.8815,7.26,0.69
50,2021-01-16 22:03:09.270000,45.854,10.9267,15.32,1.05
51,2021-01-16 23:54:56.380000,46.395,12.9785,7.65,3.38
52,2021-01-17 00:00:41.120000,46.3952,12.9742,5.24,2.3
53,2021-01-17 00:06:21.370000,45.6685,14.0583,8.46,1.98
54,2021-01-17 00:54:45.520000,44.2105,10.9423,24.8,2.33
55,2021-01-17 01:55:26.610000,46.378,12.985,1.9,0.44
56,2021-01-17 01:58:05.070000,46.398,12.9822,6.13,2.1
57,2021-01-17 03:09:12.910000,46.2672,13.4678,12.19,0.83
58,2021-01-17 07:26:06.700000,45.849,10.9355,15.07,1.68
59,2021-01-17 09:43:33.990000,45.6612,14.0573,9.02,1.5
60,2021-01-17 09:50:47.780000,46.3462,12.7148,10.74,1.21
61,2021-01-17 10:27:26.380000,45.5197,9.5283,20.44,2.69
62,2021-01-17 21:35:47.260000,46.1902,12.6238,11.54,0.97
63,2021-01-17 23:01:40.830000,45.2178,10.7807,14.82,2.76
64,2021-01-18 04:20:01.930000,46.0777,14.273,7.67,1.23
65,2021-01-18 15:19:53.470000,46.3303,13.2257,12.28,2.22
66,2021-01-18 23:09:19.840000,46.1943,12.9888,7.83,1.2
67,2021-01-19 05:32:37.090000,45.938,12.216,11.65,1.11
68,2021-01-19 08:39:32.240000,45.9418,14.3135,5.18,1.5
69,2021-01-21 01:19:23.810000,46.35,13.0552,4.43,0.79
70,2021-01-21 03:15:17.180000,46.0188,14.2795,9.22,2.52
71,2021-01-21 06:11:35.730000,45.5442,14.3097,6.21,1.93
72,2021-01-22 00:32:40.590000,46.0997,12.279,11.86,0.82
73,2021-01-22 02:26:41.670000,46.2375,12.6827,10.47,1.55
74,2021-01-22 04:14:27.490000,45.2392,11.0622,16.54,1.49
75,2021-01-22 05:44:38.400000,45.8108,11.0913,11.09,2.02
76,2021-01-22 16:06:24.200000,46.3737,12.9738,10.76,0.61
77,2021-01-23 11:28:34.360000,45.8447,10.6845,10.79,1.53
78,2021-01-23 12:21:20.310000,45.8523,10.7085,11.81,1.04
79,2021-01-23 12:36:39.240000,46.3503,12.9997,6.1,0.75
80,2021-01-23 17:42:19.130000,45.2158,11.8702,16.26,1.54
81,2021-01-24 08:08:39.570000,45.9373,11.0677,10.79,1.44
82,2021-01-25 18:32:05.720000,46.1747,12.4125,9.38,1.34
83,2021-01-26 06:32:31.100000,46.3843,13.7485,5.85,1.03
84,2021-01-26 22:41:51.360000,46.049,10.5842,5.75,1.61
85,2021-01-27 11:02:01.080000,46.4715,13.443,6.2,1.31
86,2021-01-27 21:08:09.770000,46.6277,10.685,11.59,1.32
87,2021-01-28 03:15:43.230000,45.059,14.451,9.57,2.14
88,2021-01-28 07:49:06.330000,46.4917,10.7745,23.55,1.42
89,2021-01-28 08:44:43.830000,45.2307,10.759,17.38,2.02
90,2021-01-28 19:46:02.550000,46.1932,12.4593,7.13,0.94
91,2021-01-28 20:53:17.290000,46.1942,12.457,9.54,2.82
92,2021-01-28 23:46:56.320000,45.6982,14.2607,9.87,2.13
93,2021-01-29 03:56:16.440000,46.1988,12.4565,7.36,0.65
94,2021-01-29 04:09:30.080000,46.1982,12.4612,8.63,0.66
95,2021-01-29 06:21:28.310000,46.0323,14.1492,7.31,2.19
96,2021-01-29 07:20:10.520000,46.0083,12.8612,10.46,2.12
97,2021-01-29 11:36:43.350000,46.195,12.4627,8.57,0.84
98,2021-01-29 17:39:35.940000,45.7033,14.1817,12.49,1.34
99,2021-01-30 02:49:21.340000,45.9488,10.1355,16.17,1.37
100,2021-01-30 09:56:29.360000,46.1193,12.1893,10.73,3.03
101,2021-01-30 16:15:08.520000,45.8767,11.0892,8.72,1.29
102,2021-01-30 18:04:47.980000,46.2305,12.5105,7.92,1.23
103,2021-01-30 20:08:28.790000,46.1988,12.455,8.91,0.76
104,2021-01-30 23:02:03.160000,46.1238,14.35,6.32,1.29
105,2021-01-31 00:18:25.890000,45.9132,10.9305,4.35,0.81
106,2021-01-31 01:09:02.830000,46.1182,12.2942,9.47,1.34
107,2021-01-31 08:19:11.740000,46.0653,13.4205,12.66,1.11
108,2021-01-31 13:20:41.100000,46.1962,12.4578,9.31,1.03
109,2021-01-31 13:23:37.080000,46.0335,11.7773,12.27,1.24
110,2021-01-31 23:56:36.730000,46.249,12.5913,5.83,1.44
111,2021-02-01 11:13:28.240000,46.1967,12.4593,8.31,0.59
112,2021-02-01 18:27:39.550000,46.0255,14.1418,9.11,1.32
113,2021-02-01 18:52:07.480000,46.3332,12.4538,6.36,0.48
114,2021-02-01 20:19:34.490000,46.6312,10.3895,9.7,1.34
115,2021-02-01 21:35:02.770000,46.4242,13.1763,14.47,0.94
116,2021-02-02 01:22:29.760000,46.4353,10.2142,7.14,2.09
117,2021-02-02 01:23:35.470000,46.1985,12.457,9.71,1.19
118,2021-02-02 02:12:19.730000,46.2987,13.5703,16.09,0.97
119,2021-02-02 02:12:33.110000,46.2985,13.5653,15.47,1.17
120,2021-02-02 02:36:38.750000,46.2247,12.4992,8.8,1.53
121,2021-02-02 03:06:49.970000,46.2955,13.5602,15.95,0.84
122,2021-02-02 17:36:54.940000,44.8892,9.8477,15.65,2.55
