Station,Location,Latitude,Longitude,Comune,Province,Address,Angle,GearthAngle,GearthLongAxesAngle,Year,Building Type,Number of Floor,Number of Basement,f0 [hz],vs30 (m/s),f0 building X [hz],f0 building Y [hz]
AVIA,0-4,46.067017,12.58815,Aviano,PN,Piazza Giacomo Matteotti 1,126,,36,1976 or later,Reinforced concrete,3,0,0.5,,6.7-7.2,6.7-7.2
BUDO,0-3,46.042773,12.532386,Budoia,PN,Piazza Umberto I 12,132,,144,,Load-bearing masonry,2,0,2.0-5.0,,7.9-8.1,7.9-8.1
BURA,0-2,45.899105,12.536768,Brugnera,PN,Via Villa Varda 2,296,,26,1900ish,Load-bearing masonry,3,0,,,5.8-6.3,5.8-6.3
CIVD,0-4,46.092832,13.430971,Cividale,UD,Corso Paolino d'Aquileia 2,151,,159,1976 or before,Reinforced concrete,3,1,1.5,,5.7-5.9,5.7-5.9
CLLU,4,45.940475,12.341591,Colle Umberto,TV,Via dell'abbazia 1,,,54,,,,,,,,
CODR,0,45.96154,12.977395,Codroipo,UD,Piazza Giuseppe Garibaldi 81,8,,100,1951-1953,Mixed load-bearing masonry and reinforced concrete frame,4,0,0-2,,5.2-5.4,5.4-5.7
CORD,0-1,45.988439,12.707642,Cordenons,PN,Piazza della Vittoria 1,342,,157,1960-1970,Reinforced concrete partitions and frames,3,1,0-1,,3.8-3.9,3.8-3.9
FDSP,0,46.423372,12.581961,Forni di Sopra,UD,Via Nazionale  214,0,,351,,Load-bearing masonry,3,0,,,5.2-5.6,5.2-5.6
FIVE,0-2,45.928181,12.734604,Fiume Veneto,PN,Via Conte Ricchieri 1,86,,84,,Reinforced concrete frame,2,0,0-2.1,,5.3-5.5,5.3-5.5
FOFR,0,45.988691,12.547672,Fontanafredda,PN,Via G. Puccini 8,0,,27,1973‐1981,Reinforced concrete frame,2,0,1.5 & 2.3,,5.9-6.2,5.9-6.2
FOGL,0-2,45.864883,13.481658,Fogliano,GO,Largo Donatori di Sangue 10,348,,348,1890-1900,Load-bearing masonry,2,0,1.6-2.3,,6.6-6.9,7.0-7.4
GEMO,0-5,46.279008,13.138681,Gemona,UD,Via Carlo Caneva 25,313,,40,,Reinforced concrete partitions and frames,5,0,0-1.5,,6.3-6.5,6.3-6.5
GORZ,0-4,45.942486,13.6204,Gorizia,GO,Via Garibaldi 7,211,,34,19th century,Load-bearing masonry,5,1,,,4.0-4.2,4.0-4.2
MNFL,0-2,45.809897,13.527662,Monfalcone,GO,Via Duca d’Aosta 34,125,,17,1960,"Load-bearing masonry, partitions and reinforced concrete frames.",4,1,0-1 & 4-5,,4.8-5.1,4.8-5.1
POLE,2,46.035371,12.499687,Polcenigo,PN,Via Piantuzze 2,328,,59,1960,Load-bearing masonry,2,1,1-1.5,,6.1-6.5,6.1-6.5
